témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
législative          ==> legislative : 0.996419    parliament : 0.00358029   suggested : 1.67059e-07  
standardisées        ==> standardised : 0.421533   control : 0.421533        faced : 0.156933         
terme                ==> term : 0.703542           with : 0.223808           that : 0.0712542         
auteur               ==> who : 0.475013            whoever : 0.269891        author : 0.242221        
dû                   ==> this : 0.294223           tragedy : 0.0887853       lifting : 0.0887853      
rapporteur           ==> rapporteur : 1            the : 1.04501e-07         in : 3.05564e-10         
cos                  ==> cos : 0.853295            com : 0.104201            c5 : 0.0398845           
accédant             ==> survive : 0.0478582       splendid : 0.0478582      respected : 0.0478582    
délicat              ==> facing : 0.166671         difficult : 0.166671      actual : 0.166671        
rédigé               ==> work : 0.237401           invested : 0.237401       foremost : 0.237401      
scrutin              ==> elections : 0.575631      these : 0.27703           repeat : 0.0736641       
ils                  ==> they : 0.937765           and : 0.0502895           that : 0.011937          
com                  ==> com : 0.745841            by : 0.215022             c5 : 0.0386672           
démocrate            ==> true : 0.184657           democrat : 0.184657       affront : 0.184657       
demain               ==> tomorrow : 0.699786       will : 0.267398           adopt : 0.0309279        
naviguer             ==> weather : 0.0697894       too : 0.0697894           times : 0.0697894        
transparaître        ==> successful : 0.201966     expresses : 0.201966      dissatisfaction : 0.201966
indemnisés           ==> destruction : 0.204575    unfit : 0.102287          tse : 0.102287           
universels           ==> weights : 0.0598667       universal : 0.0598667     tariff : 0.0598667       
contribuables        ==> taxpayers : 0.501301      day : 0.221092            get : 0.221092           
mmes                 ==> verts : 0.170236          rod : 0.170236            maes : 0.170236          
revenu               ==> income : 0.673009         right : 0.129123          an : 0.113234            
libéralisée          ==> much : 0.131252           ratio : 0.131252          problems : 0.0656258     
décision             ==> decision : 0.933221       making : 0.0666765        by : 0.000102887         
flexible             ==> flexible : 0.665256       forward : 0.0444186       reviving : 0.0444186     
sache                ==> poisoning : 0.117301      dispersed : 0.117301      awareness : 0.117301     
convenues            ==> such : 0.15155            include : 0.15155         those : 0.15155          
tranquille           ==> stronger : 0.314135       clearer : 0.314135        with : 0.265831          
appui                ==> preparations : 0.125      consequently : 0.125      backed : 0.125           
ait                  ==> has : 0.571438            fact : 0.37097            a : 0.0536835            
air                  ==> air : 0.714797            matters : 0.0218068       substances : 0.0218068   
aie                  ==> living : 0.176059         anything : 0.114548       suffer : 0.114548        
cruelles             ==> 1 : 0.0705538             whom : 0.0705538          torture : 0.0705538      
spécial              ==> special : 0.0907055       permanent : 0.0907055     should : 0.0519726       
appris               ==> was : 0.55734             did : 0.431131            at : 0.0115299           
courageuse           ==> eu : 0.220955             clearly : 0.110479        business : 0.110479      
coupable             ==> guilty : 0.764698         innocent : 0.0565473      sort : 0.0565473         
réserver             ==> let : 0.16821             grant : 0.0931254         willing : 0.0931254      
réserves             ==> reservations : 0.474023   strong : 0.423975         s : 0.102002             
comparative          ==> comparative : 0.30272     allow : 0.15136           overall : 0.15136        
reproduiront         ==> do : 0.150801             triple : 0.107019         remember : 0.107019      
dedans               ==> feel : 0.112159           ways : 0.112159           draw : 0.112159          
horaires             ==> mean : 0.102304           ensuring : 0.102304       enjoyment : 0.102304     
fondamentaux         ==> fundamental : 0.954733    of : 0.0443497            european : 0.000916676   
indigence            ==> strong : 0.0978856        selfishness : 0.0978856   problems : 0.0978856     
hérité               ==> made : 0.209062           stage : 0.104543          some : 0.104543          
confirmer            ==> at : 0.797384             this : 0.0195066          advances : 0.0141526     
azerbaïdjan          ==> two : 0.103733            settle : 0.103733         bilateral : 0.103733     
convictions          ==> with : 0.515831           convictions : 0.484161    which : 7.35123e-06      
curno                ==> chairman : 0.0696295      words : 0.0696295         prompted : 0.0696295     
effectifs            ==> substantial : 0.116107    staff : 0.116107          prime : 0.116107         
applaudissements     ==> applause : 0.743406       backwards : 0.0151678     applies : 0.0151678      
bolkestein           ==> bolkestein : 0.503218     if : 0.279608             with : 0.20782           
nie                  ==> myself : 0.0940667        fact : 0.0940667          perpetrated : 0.0940667  
